Format_Name,Standardized_Format_Name,Format_Type
"Macromedia Flash data (compressed), version 8",Macromedia Flash,video
"Macromedia Flash data, version 3",Macromedia Flash,video
"Macromedia Flash data, version 4",Macromedia Flash,video
"Macromedia Flash data, version 5",Macromedia Flash,video
MARC21 Bibliographic,MARC21 Bibliographic,text
Matroska,Matroska,video
MED_Song,MED_Song,audio
Microsoft Access Database,Microsoft Access Database,database
Microsoft ASF,Advanced Systems Format,video
"Microsoft Cabinet archive data, 10533357 bytes, 29 files",Microsoft Cabinet archive data,archive
"Microsoft Cabinet archive data, 1720071 bytes, 10 files",Microsoft Cabinet archive data,archive
"Microsoft Cabinet archive data, 173037244 bytes, 2572 files",Microsoft Cabinet archive data,archive
"Microsoft Cabinet archive data, 21349 bytes, 2 files",Microsoft Cabinet archive data,archive
"Microsoft Cabinet archive data, 3282078 bytes, 1 file",Microsoft Cabinet archive data,archive
"Microsoft Cabinet archive data, 3310759 bytes, 1 file",Microsoft Cabinet archive data,archive
"Microsoft Cabinet archive data, 48 bytes",Microsoft Cabinet archive data,archive
"Microsoft Cabinet archive data, 53311658 bytes, 23 files",Microsoft Cabinet archive data,archive
"Microsoft Cabinet archive data, 822939 bytes, 1 file",Microsoft Cabinet archive data,archive
Microsoft Compiled HTML Help,Microsoft Compiled HTML Help,application
Microsoft Excel,Microsoft Excel,spreadsheet
Microsoft Excel 2007+,Microsoft Excel,spreadsheet
Microsoft Excel 3 Worksheet,Microsoft Excel,spreadsheet
Microsoft Excel 4 Worksheet,Microsoft Excel,spreadsheet
Microsoft Excel 4 Workspace,Microsoft Excel,spreadsheet
Microsoft Excel 5.0 Worksheet,Microsoft Excel,spreadsheet
Microsoft Excel Format,Microsoft Excel,spreadsheet
Microsoft Excel Worksheet,Microsoft Excel,spreadsheet
Microsoft FoxPro Database,Microsoft FoxPro Database,database
Microsoft Front Page Binary Tree Index,Microsoft Front Page Binary Tree Index,design
Microsoft Internet Shortcut,Microsoft Internet Shortcut,text
Microsoft Office Owner File,Microsoft Office Owner File,application
Microsoft Outlook email folder (<=2002),Microsoft Outlook,message
Microsoft Outlook Message,Microsoft Outlook,message
Microsoft Outlook Personal Folders (ANSI),Microsoft Outlook,message
Microsoft Outlook Personal Folders (Unicode),Microsoft Outlook,message
Microsoft PowerPoint 2007+,Microsoft PowerPoint,presentation
Microsoft Powerpoint Presentation,Microsoft PowerPoint,presentation
Microsoft Visio Diagram,Microsoft Visio,design
Microsoft Visual FoxPro Database Table File,Microsoft Visual FoxPro Database,database
Microsoft Visual FoxPro Table,Microsoft Visual FoxPro Database,database
Microsoft Windows Autorun file.,Microsoft Windows Autorun File,application
Microsoft Windows Enhanced Metafile,Microsoft Windows Enhanced Metafile,image
Microsoft Windows Shortcut,Microsoft Windows Shortcut,application
Microsoft Word Binary File Format,Microsoft Word,text
Microsoft Word Document,Microsoft Word,text
Microsoft Word Document (Password Protected),Microsoft Word,text
Microsoft Word for MS-DOS Document,Microsoft Word,text
